Initial population: 100,000
Initial homosexuals: 5%
Children per generation: 0.01 to 0.005 percent of total population
Random event chance: 50%
Death range: 70 to 90 years old
Breeding ages: 20 to 50 years old
Run off: 1 year
Homosexual extinction year approx: 6100

1	815	90	5658	100815
2	982	104	5659	101797
3	645	72	5661	102442
4	888	100	5662	103330
5	820	86	5665	104150
6	938	90	5667	105088
7	830	91	5668	105918
8	840	103	5669	106758
9	607	71	5669	107365
10	732	78	5672	108097
11	895	107	5674	108992
12	626	82	5675	109618
13	732	85	5675	110350
14	1048	113	5679	111398
15	787	93	5683	112185
16	861	92	5683	113046
17	916	94	5684	113962
18	691	78	5686	114653
19	643	58	5687	115296
20	893	105	5689	116189
21	1024	105	5689	117213
22	979	112	5690	118192
23	1031	100	5694	119223
24	663	68	5696	119886
25	921	107	5698	120807
26	1204	117	5699	122011
27	1159	121	5701	123170
28	671	63	5701	123841
29	1146	105	5702	124987
30	726	4	5704	125713
31	1093	3	5705	126806
32	899	4	5705	127705
33	749	2	5706	128454
34	851	4	5707	129305
35	1067	8	5707	130372
36	1207	1	5707	131579
37	956	2	5707	132535
38	690	3	5707	133225
39	1173	6	5708	134398
40	847	3	5708	135245
41	742	2	5708	135987
42	1293	8	5709	137280
43	1147	3	5710	138427
44	1263	2	5710	139690
45	1034	5	5711	140724
46	1039	1	5712	141763
47	995	4	5715	142758
48	1129	6	5715	143887
49	1331	5	5716	145218
50	1045	4	5717	146263
51	1448	7	5416	142684
52	1432	6	4893	134587
53	833	3	4186	122763
54	1255	5	3368	109441
55	839	3	2568	95896
56	1261	4	1804	83994
57	1047	0	1205	74431
58	1510	8	749	67892
59	1380	4	451	63853
60	968	1	246	61457
61	888	2	158	60584
62	1433	3	106	61131
63	1485	2	83	62241
64	1099	3	74	63195
65	885	1	74	64041
66	867	2	73	64899
67	1159	2	73	66052
68	1156	2	73	67208
69	1552	3	74	68760
70	875	3	75	69635
71	1443	1	75	71078
72	1321	1	75	72399
73	1692	6	76	74046
74	1380	2	76	75287
75	1389	5	77	76460
76	1387	1	76	77470
77	1658	1	76	78653
78	972	1	72	79028
79	1617	2	71	80008
80	1538	4	70	80816
81	1060	3	70	81059
82	1139	2	69	81360
83	1362	2	66	81964
84	1590	3	64	82753
85	970	1	63	82977
86	1418	1	63	83655
87	1693	4	64	84566
88	1360	3	63	85085
89	1553	1	60	85868
90	1923	1	59	86954
91	1538	1	57	87672
92	1365	1	56	88241
93	1080	0	56	88498
94	1994	1	54	89698
95	1047	4	53	89898
96	1943	5	51	90999
97	1094	1	46	91210
98	1435	1	42	91750
99	1787	2	41	92615
100	1257	0	40	92916
101	2112	1	39	94046
102	1482	0	39	94526
103	1401	2	37	94990
104	1436	0	37	95491
105	1415	0	35	95965
106	1606	2	33	96643
107	1528	1	32	97234
108	1160	0	32	97473
109	1204	0	32	97735
110	1570	1	32	98341
111	2150	0	32	99522
112	1325	1	32	99886
113	1553	3	31	100461
114	1414	1	31	100932
115	1916	1	31	101878
116	1860	1	30	102735
117	2225	0	29	103964
118	2025	2	29	104923
119	2249	0	29	106115
120	1898	0	29	106942
121	2390	0	28	108269
122	1939	0	27	109082
123	2213	0	25	110147
124	2511	0	23	111498
125	1329	2	22	111636
126	1853	1	22	112330
127	2042	0	20	113171
128	2343	1	20	114347
129	1999	0	16	115146
130	2351	1	14	116310
131	2635	0	14	117808
132	2176	0	14	118809
133	2108	0	13	119764
134	1569	0	13	120162
135	2731	0	13	121669
136	2026	0	12	122494
137	2353	0	12	123667
138	1720	0	12	124218
139	2631	1	9	125699
140	1767	0	9	126351
141	1587	0	9	126828
142	1673	0	9	127367
143	2345	0	9	128545
144	2509	1	8	129829
145	2086	0	7	130746
146	2279	0	6	131809
147	2917	0	6	133364
148	1721	0	6	133784
